id,artist,title,release_date,popularity,decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
07GtDOCxmye5KDWsTSACPk,The Big Bopper,Chantilly Lace,1958-01-01,55,50,0.489,0.806,3,-6.054,1,0.0858,0.841,2.96e-05,0.0687,0.944,172.269
4vDEkER6ToECKrxiPzE2Tp,Cliff Richard & The Drifters,Move It - 2002 Remaster,2015-09-18,39,50,0.625,0.852,4,-4.83,1,0.0341,0.692,0.000487,0.293,0.931,82.142
2bFZSvstZf6xX8h69F7Bvf,Chuck Berry,Maybellene,2007-04-30,0,50,0.762,0.81,0,-10.395,1,0.0818,0.811,0.0,0.139,0.735,117.48
47gmoUrZV3w20JAnQOZMcO,Elvis Presley,Blue Suede Shoes,1956-03-23,62,50,0.557,0.66,2,-7.706,1,0.056,0.654,1.66e-06,0.138,0.962,95.252
4M1wetsQ0kt4WjAsFRPSfE,Perry Como,Magic Moments,2013-03-14,0,50,0.714,0.253,0,-15.16,0,0.0433,0.922,4.91e-06,0.173,0.695,104.302
3iskX6pzPZOyUNoVCQ7oMz,Dinah Washington,Baby (You've Got What It Takes),2011-01-01,0,50,0.69,0.508,8,-9.92,1,0.0469,0.851,0.000185,0.496,0.818,132.892
1uRKT2LRANv4baowBWHfDS,Bill Haley & His Comets,(We're Gonna) Rock Around The Clock,1955-12-19,62,50,0.811,0.859,9,-6.317,1,0.168,0.205,3.73e-06,0.0761,0.784,90.686
2xNDO4i0qxmkxYptUbxYpx,Ella Fitzgerald,Blue Skies,2011-01-01,0,50,0.464,0.391,0,-5.115,1,0.0483,0.892,0.0,0.0521,0.649,158.894
7ItZM6DMZE2m1X7yIaRxjq,Eddie Cochran,C’Mon Everybody,1960-05-01,57,50,0.627,0.7,3,-9.657,1,0.0522,0.121,0.0111,0.188,0.856,175.33
6Em0JcoORXzv0BGfxAacpv,Conway Twitty,It's Only Make Believe - Single Version,2008-01-01,0,50,0.542,0.531,11,-6.698,1,0.0384,0.887,0.0011,0.127,0.344,126.018
2iXcvnD3d1gfLBum0cE5Eg,Little Richard,Tutti Frutti,1957-03,64,50,0.555,0.658,5,-3.866,1,0.0541,0.793,0.0,0.118,0.937,184.835
0SfreyN9i8MPgrtYS5PCjg,The Crickets,Maybe Baby,1999-01-01,0,50,0.602,0.597,9,-7.73,1,0.0303,0.714,0.0,0.0863,0.866,137.001
64Ny7djQ6rNJspquof2KoX,Elvis Presley,Hound Dog,1958-03-21,67,50,0.494,0.756,0,-8.492,1,0.0499,0.733,0.00505,0.76,0.949,86.895
2WaYW84yWij5NSCpgSeU2R,Frank Sinatra,You Make Me Feel So Young - Remastered 1998,1956-03,63,50,0.577,0.306,9,-11.559,1,0.0427,0.383,0.0,0.18,0.568,125.166
6lYeYgSkWh6TZDQy6YZuvG,Louis Prima,Just A Gigolo - Remastered,1991-01-01,53,50,0.525,0.403,8,-11.987,1,0.0945,0.597,0.0,0.0565,0.718,125.187
3Ib94mN8YF3cXZo5x1FpQL,Eddie Cochran,Somethin' Else,2005-01-01,40,50,0.625,0.791,2,-10.428,1,0.0711,0.198,0.000144,0.0645,0.967,157.413
6sBPjgvLZzHHrpxbBDjmdE,Buddy Holly & The Crickets,Not Fade Away,1957-11-27,48,50,0.799,0.475,9,-13.142,1,0.0413,0.835,0.0,0.275,0.92,95.966
0VDUNaQP6tcM5ZzfcgNLmL,Chuck Berry,Rock And Roll Music,1957-01-01,0,50,0.524,0.785,8,-6.118,1,0.0467,0.44,0.00125,0.0565,0.914,165.799
4EaVZab0VnTWwWnO3HuEAp,Connie Francis,Stupid Cupid,2008-01-01,0,50,0.609,0.749,3,-6.147,1,0.0363,0.831,1.45e-06,0.039,0.967,135.702
3h4udS0WeWbsur3yfjvnm4,Jackie Wilson,Reet Petite,1958,59,50,0.664,0.66,5,-6.526,1,0.13,0.447,0.0,0.298,0.873,84.345
0DXm5n7SBxCED9ssTvrx2J,Louis Prima,Buona Sera - Remastered,1991-01-01,51,50,0.547,0.3,3,-13.973,1,0.107,0.777,0.0,0.0653,0.811,97.793
49E8SDVZ7BUyNAZZYfZdRx,Little Richard,Lucille,1985-01-01,0,50,0.682,0.839,6,-9.186,1,0.0466,0.336,0.000571,0.17,0.953,145.051
4fHDlIntTsRGSyTg5UYZYC,Harry Belafonte,Banana Boat (Day-O),1956,63,50,0.797,0.105,1,-16.881,1,0.0969,0.885,0.000116,0.108,0.419,122.545
5y3gqKswDeU8pJ878YFPUy,Billie Holiday,Autumn in New York - 2003 Remastered Version,1952-03-26,45,50,0.544,0.132,7,-11.735,0,0.0477,0.963,8.59e-05,0.101,0.286,71.178
1gU6T4sESXRt6RC2ufSqDf,Chuck Berry,Sweet Little Sixteen,2007-04-30,0,50,0.549,0.521,0,-10.294,1,0.0438,0.57,0.0,0.0996,0.939,166.072
0TMrV95mP7sDlvbE4iVfKP,Gene Vincent & His Blue Caps,Be-Bop-A-Lula,1996-01-01,43,50,0.607,0.561,9,-10.099,1,0.0425,0.421,0.0,0.298,0.841,127.638
603N4XGJUTbK760GLCvIIs,The Fleetwoods,Come Softly To Me,1993-01-01,55,50,0.601,0.095,1,-18.478,1,0.0374,0.93,0.000285,0.116,0.672,122.975
3xZe0jFAwc3akvChOrPS7u,Jo Stafford,You Belong To Me,2001-01-01,53,50,0.371,0.145,5,-14.587,1,0.0315,0.945,0.0,0.112,0.167,68.722
5hznMxKe11iqwcW8BFlNWZ,Percy Faith,"The Theme From ""A Summer Place""",2007-12-10,0,50,0.311,0.455,0,-10.15,1,0.0311,0.27,0.919,0.47,0.845,186.162
7j2OoTiQHGLRLSfqISKKY6,The Poni-Tails,Born Too Late,2008-01-01,0,50,0.501,0.311,4,-9.62,1,0.0251,0.672,0.000125,0.174,0.818,85.322
1pZn8AX1WulW8IO338hE5D,Billie Holiday,Blue Moon,1956-01-01,63,50,0.639,0.269,8,-11.435,1,0.0698,0.982,0.12,0.141,0.539,124.866
4nAJtcmiyoL0ARY5WZY9IN,Duane Eddy,Rebel Rouser,1965-11-24,50,50,0.388,0.434,7,-11.997,1,0.0354,0.789,0.954,0.728,0.873,206.313
14t8pLQkLLskPriG8bs96b,Patsy Cline,Walkin' After Midnight,2006,49,50,0.562,0.194,0,-15.364,1,0.0448,0.795,0.0,0.322,0.773,135.903
4gphxUgq0JSFv2BCLhNDiE,Elvis Presley,Jailhouse Rock,1958-03-21,68,50,0.647,0.582,10,-9.538,0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396
07TQDFaoLBwvo6JU1nnaiU,Fats Domino,I'm Walkin',1962-01-01,43,50,0.729,0.555,1,-13.056,1,0.0483,0.678,0.184,0.155,0.979,109.005
7EM1CeaWPjCdVY1vO0KiO4,Johnny & The Hurricanes,Red River Rock,2013-04-19,40,50,0.371,0.813,0,-11.397,1,0.0741,0.0946,0.919,0.272,0.822,153.963
1eqGYJJr2z2GXK1i0hD3BC,Pat Boone,Love Letters In The Sand - Single Version,1962-08-01,55,50,0.571,0.196,3,-13.216,1,0.0278,0.811,0.0,0.142,0.555,88.728
7demHL0GXA6YmTNqw3Btz8,The Coasters,Yakety Yak,2005-12-20,58,50,0.715,0.669,7,-9.491,1,0.128,0.705,0.000732,0.044,0.976,120.789
2k6qpHJsrKCCyvsHv2cPqR,Paul Anka,Diana,1966,55,50,0.551,0.576,7,-8.49,1,0.0325,0.762,0.0,0.803,0.919,142.814
5tHFPtV7dT01fxDe2AhKjD,Little Richard,Rip It Up,1957-03,51,50,0.895,0.636,5,-6.043,1,0.06,0.672,3.31e-06,0.0207,0.967,95.922
65DHarvIY5nZ57ZcgTxx75,Tommy Edwards,It's All In The Game,2008-01-01,0,50,0.546,0.167,3,-16.085,1,0.0308,0.845,0.0181,0.127,0.628,70.564
63NmQTtxQLHSRp7li6aAmP,Johnny Mathis,Chances Are - Single Version,1956,48,50,0.31,0.254,10,-12.2,1,0.0343,0.897,3.25e-06,0.107,0.296,77.512
1V4NaFlrUCK49MXcdOcVeS,Ella Fitzgerald,They Can't Take That Away From Me,1997-05-20,60,50,0.563,0.136,3,-17.402,1,0.0683,0.87,0.0,0.106,0.368,104.928
1jdE62HRy0U5vJaOZ0LUUb,Frank Sinatra,Love & Marriage,2010-09-21,0,50,0.69,0.244,10,-10.011,1,0.0364,0.919,0.0,0.218,0.598,110.977
5P11rW6aJErF37MTfRZS31,Ray Charles,"Hallelujah, I Love Her So",1957-01-01,61,50,0.696,0.547,5,-5.954,0,0.169,0.792,0.0,0.155,0.623,73.203
0qDShcc7oY6M8OFaDXHOZG,Frankie Avalon,Venus - Bonus Track,2013-05-28,38,50,0.526,0.488,10,-12.645,1,0.0296,0.601,1.31e-05,0.094,0.718,115.194
1s4hyUFWmLWiAamsclb4xA,Bill Haley & His Comets,"See You Later, Alligator",1991-01-01,45,50,0.664,0.702,10,-11.841,0,0.0671,0.313,2.06e-06,0.369,0.737,156.987
2CeqxyOZEyiL6pTDYZ9gPH,Peggy Lee,Fever,1988-01-01,58,50,0.742,0.0899,9,-19.187,0,0.158,0.0906,0.0,0.113,0.351,137.473
6wcKmXUzB6SExvGbleZkeI,Danny & The Juniors,At The Hop,2008-10-21,0,50,0.405,0.864,8,-7.642,1,0.0486,0.662,2.12e-05,0.18,0.888,194.875
2KJOfVTxWkbtRMGByeEQ7V,Hank Williams,Jambalaya (On The Bayou),1998-09-22,57,50,0.526,0.291,7,-10.694,1,0.0346,0.706,0.0,0.0651,0.886,164.02
58PSYdY0GFg0LFb2PxYk4T,Muddy Waters,Mannish Boy,1977,62,50,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129
6XAcmxPbCfMzLBvjBd2G0H,Frankie Lymon & The Teenagers,Why Do Fools Fall In Love,2010-12-19,0,50,0.43,0.558,1,-6.549,1,0.0844,0.534,0.000507,0.0914,0.779,172.756
2HyPrPSANTIPkR6CfiytwY,Doris Day,Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),1957-11-11,57,50,0.386,0.125,0,-17.695,1,0.0394,0.921,6.42e-06,0.0919,0.254,147.721
0jqr2lIlIU09FsuSOibDdA,Barrett Strong,Money (That's What I Want),2012-09-01,39,50,0.656,0.84,5,-7.349,1,0.0323,0.342,0.0,0.108,0.954,132.335
40fD7ct05FvQHLdQTgJelG,Bobby Darin,Splish Splash,1958,59,50,0.645,0.943,0,-1.526,1,0.0393,0.385,0.0,0.37,0.965,147.768
4kh2S9hRpPvoF9JkwZcYGN,Paul Anka,Lonely Boy,2000-10-03,46,50,0.623,0.605,0,-9.923,1,0.0306,0.352,0.0,0.101,0.804,106.163
2aEeghgUcnu75tzcolFMfs,Ritchie Valens,La Bamba - Single Version,1959,64,50,0.516,0.809,0,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099
6TYR3IVgIwDK6ydc2EPEQq,Jackie Wilson,Lonely Teardrops,1959,50,50,0.524,0.478,7,-8.894,1,0.118,0.406,0.0,0.74,0.843,137.133
05r0esO8ozJjsN7DzsJoMy,Carl Perkins,Blue Suede Shoes,2012-09-10,0,50,0.633,0.568,9,-11.225,1,0.0323,0.352,6.03e-05,0.154,0.969,84.491
2Tv1cGl60jwtHpOJ9dNPxH,Vic Damone,On The Street Where You Live,2005-11-01,39,50,0.291,0.312,10,-10.289,1,0.0363,0.871,0.0,0.142,0.201,115.077
55yFboSykwIU6EueKsNC4N,Bo Diddley,I'm A Man,1962-01-01,0,50,0.514,0.539,3,-15.628,1,0.0402,0.296,0.0,0.184,0.853,85.368
3YdKJzcoMZMacISlpY4QoP,The Flamingos,I Only Have Eyes for You,1959-08-11,59,50,0.552,0.313,5,-12.41,1,0.0296,0.916,0.0017,0.12,0.303,88.554
4bzvhZFlV9UqQ3EmV2i8s4,Connie Francis,Who's Sorry Now,2005-06-14,56,50,0.522,0.326,3,-6.448,1,0.0273,0.755,2.26e-05,0.36,0.443,87.535
3FL0L1AhHjFfhxQPGWjKkn,Mickey & Sylvia,Love Is Strange,2010-05-03,0,50,0.629,0.692,0,-6.466,1,0.0295,0.658,0.000463,0.0543,0.842,121.808
3P6OwCX7Ofiaaqtvujb6i5,Tennessee Ernie Ford,Sixteen Tons,1997-01-01,55,50,0.693,0.324,11,-15.085,1,0.205,0.796,0.0,0.246,0.382,144.14
2yOXKIU9YtBSWjI3OA8tqj,Thurston Harris,Little Bitty Pretty One,1959-03-10,54,50,0.703,0.883,8,1.085,1,0.241,0.777,2.02e-06,0.0562,0.887,88.351
77FRvC6JRthZBYDiMJeAFg,Jerry Lee Lewis,Wild One,2007-06-25,45,50,0.67,0.878,0,-12.43,1,0.0491,0.745,0.000602,0.326,0.973,97.598
4tmy6FB76bR5eLmx0zO1mn,Louis Prima,Pennies From Heaven,1957,57,50,0.515,0.408,8,-11.96,1,0.194,0.452,0.0,0.0682,0.915,185.767
2R7uUQ0Dehu80gsOcydQC9,Bo Diddley,Bo Diddley,1958-01-01,52,50,0.809,0.701,0,-12.484,1,0.0574,0.176,0.0,0.184,0.563,105.696
1VI29k31nGdasgJ8BBpPu8,Neil Sedaka,Oh! Carol,2003-03-29,44,50,0.584,0.743,8,-7.039,0,0.0463,0.766,0.0,0.319,0.815,132.747
507IFqPuG8mBQoKebfGG9t,Little Richard,Long Tall Sally (The Thing),1957-03,62,50,0.474,0.608,5,-5.139,1,0.0825,0.755,0.0,0.0928,0.888,184.694
66D7zHfeW0frszhjR9ewZ1,The Platters,Only You (And You Alone),1995-01-01,0,50,0.411,0.28,3,-11.961,1,0.0285,0.956,0.0,0.12,0.309,80.337
6TK8A5OtTwjm6g93zLd9HO,Tony Bennett,Rags To Riches,1990-09-18,0,50,0.398,0.458,2,-9.131,1,0.0344,0.87,6.01e-06,0.0895,0.546,77.915
4hHbeIIKO5Y5uLyIEbY9Gn,Frank Sinatra,Come Fly With Me - Remastered,1958,66,50,0.574,0.338,6,-11.376,1,0.042,0.845,0.0,0.165,0.493,67.008
0QGwOFQChzflLAmPq5NwKo,Dion & The Belmonts,A Teenager In Love,1959-01-01,61,50,0.555,0.377,1,-9.123,1,0.0295,0.671,0.0,0.128,0.619,78.986
1jKcwPfDloLOMxC1wMV0ux,Lloyd Price,I'm Gonna Get Married,1994-01-01,42,50,0.569,0.514,7,-9.369,1,0.0334,0.765,0.0,0.131,0.63,119.518
2ZNTPtYmAhN9vCwnAgqKn1,The Isley Brothers,"Shout, Pts. 1 & 2",1959-08-21,60,50,0.489,0.866,10,-7.433,1,0.0933,0.753,0.0,0.876,0.416,138.63
4IYyGIbMS5ZkxDXGfPIrXr,The Del-Vikings,Come Go With Me,1997-01-01,58,50,0.566,0.534,5,-9.416,0,0.0409,0.713,0.0,0.0883,0.582,129.69
0S2QQT8Mi0DhbIn8k2fBWl,Sarah Vaughan,Passing Strangers,2008-01-01,0,50,0.279,0.315,1,-10.539,1,0.0343,0.813,0.0,0.153,0.177,90.799
6bnFjTW3EnMG4BwreDnSHK,The Fleetwoods,Mr. Blue,1993-01-01,56,50,0.374,0.0889,4,-17.475,1,0.0356,0.931,6.88e-06,0.111,0.211,96.677
5bDVkMLsBJgNL3eejUhBKF,Johnny Mathis,Wonderful! Wonderful! (with Ray Conniff & His Orchestra & Chorus) - Single Version,2004-05-04,47,50,0.25,0.398,7,-9.495,0,0.0301,0.742,4.24e-06,0.0975,0.559,145.178
0Rk9byjmZksAJX15onGns5,Dinah Washington,Teach Me Tonight,1988-01-01,58,50,0.558,0.231,5,-11.436,0,0.0812,0.805,0.0,0.142,0.403,73.103
5WAPUAldIHRM28j5fUl1ak,The Clovers,Love Potion No.9,2011-11-08,33,50,0.734,0.59,7,-7.807,1,0.148,0.555,0.0,0.142,0.782,128.817
3YCbx1QqGrnxMsPEZLC1CT,Frank Sinatra,Love Is Here To Stay - Remastered 1998,1956-03,57,50,0.547,0.208,9,-13.458,1,0.0334,0.676,0.0,0.1,0.424,108.999
5n5h1rwx8arEaRureuyNeS,Little Richard,Keep A Knockin,1985-01-01,0,50,0.335,0.926,8,-8.763,1,0.0958,0.0266,3.13e-06,0.0696,0.948,170.467
3SNEFR9U8CCEUN3iZfkVgW,Buddy Knox,Party Doll,2005-05-17,44,50,0.664,0.731,11,-7.84,0,0.0779,0.718,5.95e-06,0.216,0.661,90.054
1UzlJGnPQLCIDAHuKSjQQT,Dean Martin,Just In Time - Remastered/1998,2009-01-01,38,50,0.509,0.265,7,-11.918,0,0.0438,0.652,0.0,0.125,0.587,126.88
